Subject,AverageStudyTime,AverageBreakTime,PredictedGrade,PredictedKnowledgeLevel
English,55,14,78,1
Science,56,16,75,4
Science,55,28,68,5
Math,43,30,61,4
History,91,10,60,3
English,100,5,63,4
Math,81,15,76,4
History,106,27,65,3
English,72,17,60,3
Science,56,5,98,2
English,40,17,97,3
History,75,17,76,3
History,100,5,62,4
English,86,23,67,2
History,61,13,97,3
History,42,25,100,5
Science,67,5,68,2
History,61,24,100,3
Math,71,10,75,4
English,73,9,96,4
English,33,9,79,3
Math,101,13,64,4
English,92,11,72,1
Science,44,28,65,4
Science,66,20,61,2
History,103,10,66,2
Math,31,28,91,4
English,60,28,91,4
Math,81,25,60,2
History,44,10,68,3
History,87,24,62,3
Math,107,12,80,2
History,46,11,100,4
Science,30,19,60,5
Science,88,5,93,5
Science,91,7,69,5
English,32,10,92,1
History,49,6,80,2
Science,82,22,94,3
Math,50,29,98,3
English,69,22,74,2
Science,59,25,84,2
Math,88,12,72,4
Science,33,16,95,3
History,73,28,95,2
Math,85,21,80,2
English,98,30,92,5
English,33,30,72,2
Science,118,20,63,2
English,33,22,91,1
English,90,17,75,4
History,66,11,94,1
Science,42,18,79,4
History,34,22,92,5
History,103,17,73,5
English,56,16,79,4
History,116,29,98,3
Math,43,27,77,2
English,36,13,94,4
Math,74,11,84,1
Math,55,23,90,2
Science,54,29,75,4
English,31,30,69,2
English,69,18,61,5
History,64,26,70,5
Science,79,25,83,2
English,49,17,92,1
Science,102,6,73,5
English,40,16,80,3
Math,65,14,69,5
Math,57,30,69,4
Math,32,11,70,2
Math,109,14,81,3
History,92,26,86,1
English,96,28,80,4
History,45,26,84,3
English,71,16,76,1
English,38,28,80,1
History,95,11,61,1
Math,48,19,89,1
Science,41,21,75,1
Math,96,13,68,3
History,64,7,94,2
Science,76,22,68,5
Math,50,16,99,2
Math,117,10,72,5
History,105,18,84,4
Science,92,19,83,2
English,32,30,67,3
English,59,20,71,5
Math,93,30,61,4
English,109,26,98,2
English,46,27,62,2
Science,101,24,76,4
History,100,12,80,5
Math,82,26,84,3
Math,112,5,98,4
Science,114,19,95,4
Science,79,26,86,1
Math,52,27,84,4
History,36,27,68,2
English,35,8,91,1
Math,114,8,66,5
English,48,27,69,1
Science,39,27,78,4
Math,74,27,64,1
English,106,28,85,1
English,81,15,93,3
History,64,6,82,2
English,74,17,66,5
English,116,8,62,1
History,117,28,69,4
Math,84,21,89,3
Math,93,21,76,2
Math,36,18,61,2
English,108,9,79,2
Math,64,15,86,3
History,71,22,67,4
History,84,22,61,5
English,104,30,87,1
History,90,29,77,3
English,55,21,100,1
Science,92,27,87,1
Math,109,27,79,5
Science,36,22,81,2
Science,52,27,69,5
Math,93,25,94,4
History,45,10,78,5
Math,100,7,89,2
Math,53,14,67,2
Math,113,20,85,3
Science,104,12,72,3
English,32,21,72,3
Math,110,25,91,1
English,116,15,86,1
